season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
16_season,Stoke,West Ham,0,0,D,L Probert,12,3,1,0,0,0
16_season,Sunderland,Bournemouth,0,1,A,S Attwell,13,9,3,2,0,0
16_season,West Brom,Leicester,0,1,A,M Clattenburg,14,9,2,2,0,0
16_season,Everton,Chelsea,0,3,A,J Moss,13,11,3,4,0,0
16_season,Man United,Swansea,1,1,D,N Swarbrick,11,13,2,2,0,0
16_season,Middlesbrough,Man City,2,2,D,K Friend,9,9,4,4,0,0
16_season,Tottenham,Arsenal,2,0,H,M Oliver,7,15,1,3,0,0
16_season,Watford,Liverpool,0,1,A,C Pawson,11,9,3,1,0,0
16_season,West Ham,Tottenham,1,0,H,A Taylor,8,9,4,2,0,0
16_season,Bournemouth,Stoke,2,2,D,P Tierney,10,15,2,0,0,0
16_season,Burnley,West Brom,2,2,D,M Jones,9,14,1,3,0,0
16_season,Hull,Sunderland,0,2,A,N Swarbrick,10,8,3,1,0,0
16_season,Leicester,Watford,3,0,H,R East,8,10,0,0,0,0
16_season,Man City,Crystal Palace,5,0,H,M Oliver,12,8,1,3,0,0
16_season,Swansea,Everton,1,0,H,M Atkinson,5,13,0,0,0,0
16_season,Arsenal,Man United,2,0,H,A Marriner,14,10,1,0,0,0
16_season,Liverpool,Southampton,0,0,D,R Madley,9,4,1,3,0,0
16_season,Chelsea,Middlesbrough,3,0,H,C Pawson,8,21,0,2,0,0
